City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,29-01-2015,83.13,107.96,6.93,28.71,33.72,6.93,49.52,59.76,0.02,0,3.14,176.5472414,Poor
Ahmedabad,30-01-2015,79.84,107.96,13.85,28.68,41.08,13.85,48.49,97.07,0.04,0,4.81,254.8043478,Very Poor
Ahmedabad,31-01-2015,94.52,107.96,24.39,32.66,52.61,24.39,67.39,111.33,0.24,0.01,7.67,343.7047337,Severe
Ahmedabad,01-02-2015,135.99,107.96,43.48,42.08,84.57,43.48,75.23,102.7,0.4,0.04,25.87,459.4037736,Severe
Ahmedabad,02-02-2015,178.33,107.96,54.56,35.31,72.8,54.56,55.04,107.38,0.46,0.06,35.61,344.9974419,Severe
Ahmedabad,03-02-2015,139.7,107.96,30.61,28.4,56.73,30.61,33.79,73.6,0.17,0.03,11.87,380.1414201,Severe
Ahmedabad,04-02-2015,80.65,107.96,2.37,22.83,24,2.37,25.73,47.3,0,0,0,168.0810345,Poor
Ahmedabad,05-02-2015,58.36,107.96,2.6,21.39,23.31,2.6,32.66,53.54,0,0,0,107.2658228,Moderate
Ahmedabad,06-02-2015,79.29,107.96,1.16,26.94,26.83,1.16,67.41,59.3,0,0,0,163.4382759,Moderate
Ahmedabad,07-02-2015,88.7,107.96,7.29,31.32,37.73,7.29,80.09,44.76,0,0,0,195.562069,Poor
Ahmedabad,08-02-2015,74.28,107.96,8.92,27.3,33.42,8.92,54.28,47.42,0,0,0.27,186.4658228,Very Poor
Ahmedabad,09-02-2015,113.93,107.96,4.32,24.27,26.86,4.32,48.73,39.94,0.02,0,3.55,279.2782759,Very Poor
Ahmedabad,10-02-2015,105.39,107.96,1.41,18.21,18.75,1.41,35.91,56.15,0,0,3.31,250.1244828,Poor
Ahmedabad,11-02-2015,66.52,107.96,6.34,23.8,28.24,6.34,66.58,53.14,9.7,9.63,16.49,154.1341772,Very Poor
Ahmedabad,12-02-2015,65.04,107.96,14.19,30.1,44.21,14.19,65.91,31.88,7.72,17.46,2.51,259.6826087,Poor
Ahmedabad,13-02-2015,103.36,107.96,18.18,39.56,57.33,18.18,80.43,40.11,11.29,24.35,3.35,307.3266272,Severe
Ahmedabad,14-02-2015,177.33,107.96,37.49,47.58,77.85,37.49,99.72,36.47,17,52.66,6.98,422.1075472,Severe
Ahmedabad,15-02-2015,113.25,107.96,15.55,30.5,44.87,15.55,69.71,33.78,10.47,28.53,3.22,279.1956522,Severe
Ahmedabad,16-02-2015,99.7,107.96,19.85,28.1,47.31,19.85,73.23,30.57,10.28,31.25,4,317.1094675,Severe
Ahmedabad,17-02-2015,80.61,107.96,15.96,21.04,35.67,15.96,54.7,36.2,8.14,18.75,2.52,285.0782609,Severe
Ahmedabad,18-02-2015,100.79,107.96,16.24,25.93,41.91,16.24,43.11,37.43,10,32.41,4.04,289.0956522,Severe
Ahmedabad,19-02-2015,107.99,107.96,11.25,30.09,40.47,11.25,84.86,31.94,9.2,24.03,3.25,259.0003448,Severe
Ahmedabad,20-02-2015,140.29,107.96,33.84,36.14,68.85,33.84,101.53,40.98,20.12,43.51,7.48,399.0627219,Severe
Ahmedabad,21-02-2015,239.96,107.96,61.95,46.25,106.92,61.95,84.87,33.55,22.14,53.98,15.44,392.2948837,Severe
Ahmedabad,22-02-2015,142.96,107.96,45.45,48.21,92.32,45.45,62.96,34.77,7.35,22.4,8.47,471.6698113,Severe
Ahmedabad,23-02-2015,238.41,107.96,77.7,55.07,131.32,77.7,89.07,37.3,50.61,163.64,28.46,391.1053488,Severe
Ahmedabad,24-02-2015,118.72,107.96,12.56,32.01,42.56,12.56,61.54,38.8,16.89,46.52,6.05,295.6303448,Severe
Ahmedabad,25-02-2015,52.99,107.96,2.23,10.45,10.39,2.23,32.76,67.25,3.85,11.39,0.81,105.6244295,Poor
Ahmedabad,02-03-2015,60.78,107.96,9.07,18.21,27.34,9.07,29.48,34.75,2.05,0.55,0.22,188.3455696,Moderate
Ahmedabad,03-03-2015,91.83,107.96,12.99,28.71,40.76,12.99,39.71,38.46,2.69,1.74,2.25,242.4652174,Severe
Ahmedabad,04-03-2015,93.88,107.96,18.21,29.38,47.01,18.21,62.75,46.79,5.21,2.55,1.55,307.5023669,Very Poor
Ahmedabad,05-03-2015,173.01,107.96,48.44,42.27,90.73,48.44,78.76,59.39,9.72,9.96,4.13,490.2867925,Severe
Ahmedabad,08-03-2015,71.56,107.96,3.51,16.83,20.32,3.51,30.28,57.16,3.95,8.01,0.63,137.0496552,Moderate
Ahmedabad,09-03-2015,119.8,107.96,4.13,24.07,27.9,4.13,50.35,50.49,4.85,12.15,1.35,299.3172414,Poor
Ahmedabad,10-03-2015,106.71,107.96,5.39,25.59,30.51,5.39,38.85,60.17,5.58,14.17,1.74,254.6306897,Poor
Ahmedabad,11-03-2015,118.49,107.96,4.11,28.94,31.83,4.11,54.2,53.61,7.9,21.32,2.78,294.8451724,Very Poor
Ahmedabad,12-03-2015,106.01,107.96,4.28,27.31,30.54,4.28,70.29,40.91,9.45,15.54,1.71,252.2410345,Poor
Ahmedabad,13-03-2015,97.34,107.96,3.67,21.58,24.62,3.67,64.39,45.69,5.61,15.02,2.25,222.6434483,Poor
Ahmedabad,14-03-2015,83.92,107.96,6.42,25.03,30.8,6.42,67.53,34.94,8.24,21.47,3.09,179.2441379,Poor
Ahmedabad,15-03-2015,49.51,107.96,3.1,14.16,16.15,3.1,48.33,37.95,4.34,11.34,1.09,113.5316456,Poor
Ahmedabad,16-03-2015,30.76,107.96,2.72,14.14,16.98,2.72,43.62,54.78,3.58,9.38,0.84,108.7696203,Moderate
